Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,342,336,385,394,426,288,480,0.0
jmeter_view_issue,18200,166,160,181,190,213,127,2555,0.0
jmeter_search_jql,5502,484,474,545,568,631,349,3959,0.0
jmeter_view_dashboard,5079,272,256,332,357,405,196,2192,0.0
jmeter_view_backlog,2540,331,313,392,410,452,269,2930,0.0
jmeter_open_quick_create,1693,64,61,71,78,95,49,724,0.0
jmeter_create_issue,1693,255,252,300,311,335,192,1359,0.0
jmeter_view_project_summary,1693,204,193,238,249,309,165,1441,0.0
jmeter_open_editor,1693,76,73,79,82,96,65,1543,0.0
jmeter_save_edit,1693,322,308,367,404,565,179,1561,0.0
jmeter_browse_projects,1693,47,45,51,55,75,40,126,0.0
jmeter_view_kanban_board,1270,232,220,274,288,321,133,3624,0.0
jmeter_view_scrum_board,1270,138,135,176,188,216,89,1376,0.0
jmeter_open_comment,847,62,58,64,67,87,49,1313,0.0
jmeter_save_comment,847,186,174,235,248,296,133,908,0.0
jmeter_browse_boards,847,79,62,69,74,94,55,13148,0.0
selenium_login:open_login_page,169,126,117,128,137,180,111,987,0.0
selenium_login:login_and_view_dashboard,169,722,729,815,835,864,569,1076,0.0
selenium_login,169,848,851,938,957,1006,684,2064,0.0
selenium_browse_projects_list,169,344,337,394,416,441,292,456,0.0
selenium_browse_boards_list,169,359,350,380,391,611,314,843,0.0
selenium_create_issue:open_quick_create,169,867,880,929,941,965,674,1008,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,169,653,643,688,702,803,628,856,0.0
selenium_create_issue:fill_and_submit_issue_form,169,3136,3030,3234,4398,4551,2765,4556,0.0
selenium_create_issue,169,4004,3919,4138,5135,5248,3529,5269,0.0
selenium_edit_issue:open_edit_issue_form,169,651,631,795,811,848,499,893,0.0
selenium_edit_issue:save_edit_issue_form,169,732,719,836,861,920,591,926,0.0
selenium_edit_issue,169,2111,2092,2228,2260,2345,1949,2384,0.0
selenium_save_comment:open_comment_form,169,436,433,499,521,554,324,582,0.0
selenium_save_comment:submit_form,169,955,951,1034,1064,1120,811,1168,0.0
selenium_save_comment,169,1598,1594,1695,1722,1842,1401,2133,0.0
selenium_search_jql,169,1285,1275,1346,1376,1475,1150,1774,0.0
selenium_view_scrum_board_backlog,169,1272,1533,1674,1712,1744,832,1789,0.0
selenium_view_scrum_board,169,832,827,851,858,930,809,990,0.0
selenium_view_kanban_board,169,1052,1064,1383,1489,1724,492,1799,0.0
selenium_view_dashboard,169,377,333,519,596,676,249,816,0.0
selenium_view_issue,169,817,818,879,898,924,667,938,0.0
selenium_project_summary,169,567,565,628,659,694,446,711,0.0
selenium_log_out,169,421,420,464,480,540,345,543,0.0
